strain	ori	ter	genomesize	cdscumskew
186.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0	4804452	10182558	-99
186.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	5053128	10431212	-5
186.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4753851	10129818	-78
186.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4495872	9909852	-95
186.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4797891	10234152	-90
186.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4623917	10052217	-139
186.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4810829	10223760	-81
186.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4733058	10126829	-112
186.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4736382	10115100	-129
186.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0	4748982	10127407	-102
186.noSI.rot__with__chromosome	0	5280511	10413025	0
